2778	2717	2660	2604	2551	2500	2451	2404
2358	2315	2273	2232	2193	2155	2119	2083
2049	2016	1984	1953	1923	1894	1866	1838
1812	1786	1761	1736	1712	1689	1667	1645
1623	1603	1582	1563	1543	1524	1506	1488
1471	1453	1437	1420	1404	1389	1374	1359
1344	1330	1316	1302	1289	1276	1263	1250
1238	1225	1214	1202	1190	1179	1168	1157
1147	1136	1126	1116	1106	1096	1087	1078
1068	1059	1050	1042	1033	1025	1016	1008
1000	992	984	977	969	962	954	947
940	933	926	919	912	906	899	893
887	880	874	868	862	856	850	845
839	833	828	822	817	812	806	801
796	791	786	781	776	772	767	762
758	753	749	744	740	735	731	727
723	718	714	710	706	702	698	694
691	687	683	679	676	672	668	665
661	658	654	651	648	644	641	638
635	631	628	625	622	619	616	613
610	607	604	601	598	595	592	590
587	584	581	579	576	573	571	568
566	563	561	558	556	553	551	548
546	543	541	539	536	534	532	530
527	525	523	521	519	517	514	512
510	508	506	504	502	500	498	496
494	492	490	488	486	484	483	481
479	477	475	473	472	470	468	466
465	463	461	460	458	456	455	453
451	450	448	446	445	443	442	440
439	437	436	434	433	431	430	428
427	425	424	422	421	419	418	417
